콘텐츠명,애완동물동반허용여부,조식제공여부,독채여부,업종,위치
추사랑민박,2,1,2,4,0
대물민박,1,1,2,4,0
레몬이네 민박,2,1,2,4,0
동일민박,2,1,2,4,0
뉴아일랜드민박,2,1,2,2,0
호텔 케니,2,1,2,1,1
바다와자전거,2,2,2,4,0
제주머무리,2,3,2,2,1
씨사이드아덴,1,1,2,3,1
바람스테이,2,3,2,4,0
골드원 호텔&스위트,2,1,2,1,1
콤포스텔라 별들의들판,2,2,2,4,0
돌담한길펜션,2,3,1,2,1
여울목 펜션(강정동),2,3,2,2,1
호텔 시리우스 제주,2,1,2,1,0
밭담사이,1,3,2,4,0
레드우드하우스,2,2,2,4,0
피디스테이션,2,2,1,4,0
제주토비스콘도,2,1,2,3,0
더큐브리조트 제주,2,1,2,3,1
클럽ES리조트 제주,2,1,2,3,1
더오라,2,3,1,2,0
돌담길,2,1,1,2,0
심스호텔,2,1,2,1,0
그랜드 조선 제주,2,1,2,1,1
빌라비하우스,2,3,2,2,1
씨스테이,2,3,2,1,0
그랜드 하얏트 제주,2,1,2,1,0
청재설헌,2,3,2,4,1
제주밭담숲,2,3,1,2,0
리틀해녀 ,2,3,1,2,0
더그랜드섬오름,2,1,2,1,1
제주올레돔,2,3,1,2,1
씨오르리조트,2,1,2,3,1
파도봐펜션,1,3,2,2,1
쌩텀펜션원,2,3,2,2,0
제주 체크인,2,3,2,5,0
서귀포 더 호텔,2,3,2,5,1
서귀포 오렌지 호텔,2,3,2,5,1
제주 참피온 호텔,2,3,2,5,0
더 스테이 센추리 호텔,2,3,2,5,0
제주 휴 무인텔,2,3,2,5,0
제주 모이라 무인텔,2,3,2,5,0
서귀포 썬라이즈 호텔,2,3,2,5,1
제주 퓨어스테이 오션,2,3,2,5,0
제주 신라 호텔,2,1,2,1,1
라마다 프라자,2,1,2,1,0
리젠트 마린 더 블루,2,1,2,1,0
롯데시티호텔,2,1,2,1,0
신라스테이,2,1,2,1,0
서귀포 JS 호텔,2,1,2,1,1
