x	airline	departure	arrival	time	seat	price
183	하이에어	진주/사천	제주	18	25	56900
184	하이에어	진주/사천	제주	19	11	56900
185	하이에어	진주/사천	제주	20	50	56900
186	하이에어	진주/사천	제주	21	28	56900
187	하이에어	진주/사천	제주	22	35	56900
188	진에어	청주	제주	6	5	107000
189	에어로케이항공	청주	제주	7	54	96600
190	티웨이항공	청주	제주	8	59	98000
191	제주항공	청주	제주	9	40	87650
192	티웨이항공	청주	제주	10	30	98000
193	진에어	청주	제주	11	17	107000
194	대한항공	청주	제주	12	27	126000
195	아시아나항공	청주	제주	13	55	119000
196	제주항공	청주	제주	14	2	87650
197	진에어	청주	제주	15	46	107000
198	제주항공	청주	제주	16	1	87650
199	에어로케이항공	청주	제주	17	39	96600
200	티웨이항공	청주	제주	18	9	98000
201	티웨이항공	청주	제주	19	30	98000
202	진에어	청주	제주	20	49	107000
203	제주항공	청주	제주	21	41	87650
204	진에어	청주	제주	22	60	107000
205	진에어	포항	제주	6	60	107000
206	진에어	포항	제주	7	26	107000
207	진에어	포항	제주	8	35	107000
208	진에어	포항	제주	9	16	107000
209	진에어	포항	제주	10	20	107000
210	진에어	포항	제주	11	13	107000
211	진에어	포항	제주	12	59	107000
212	진에어	포항	제주	13	59	107000
213	진에어	포항	제주	14	40	107000
214	진에어	포항	제주	15	42	107000
215	진에어	포항	제주	16	28	107000
216	진에어	포항	제주	17	53	107000
217	진에어	포항	제주	18	48	107000
218	진에어	포항	제주	19	27	107000
219	진에어	포항	제주	20	35	107000
220	진에어	포항	제주	21	43	107000
221	진에어	포항	제주	22	41	107000
